mode,num_switches,num_ops,transfer_size,switch_delay,host_overhead,orch_id,wall_time_ns,effective_bw_gbps,agg_bw_gbps,avg_latency_ns
dcs,1,50,4096,25,0,0,0,0,,0
baseline,1,50,4096,25,0,,0,2.55789,,821.556
baseline,1,50,4096,25,100,,0,0.639622,,112.528
baseline,1,50,4096,25,500,,0,0.127985,,111.626
baseline,1,50,4096,25,1000,,0,0.0639962,,111.99
dcs,2,50,4096,25,0,0,0,0,,0
baseline,2,50,4096,25,0,,0,2.55894,,823.278
baseline,2,50,4096,25,100,,0,0.639736,,149.071
baseline,2,50,4096,25,500,,0,0.127989,,137.851
baseline,2,50,4096,25,1000,,0,0.0639976,,139.95
dcs,4,50,4096,25,0,0,0,0,,0
dcs,4,50,4096,25,0,2,0,0,,0
baseline,4,50,4096,25,0,,0,2.55868,,824.276
baseline,4,50,4096,25,100,,0,0.639781,,193.018
baseline,4,50,4096,25,500,,0,0.127991,,189.73
baseline,4,50,4096,25,1000,,0,0.0639978,,191.851
dcs,8,50,4096,25,0,0,0,0,,0
dcs,8,50,4096,25,0,2,0,0,,0
dcs,8,50,4096,25,0,4,0,0,,0
dcs,8,50,4096,25,0,6,0,0,,0
baseline,8,50,4096,25,0,,0,2.55844,,824.787
baseline,8,50,4096,25,100,,0,0.63979,,295.697
baseline,8,50,4096,25,500,,0,0.127992,,292.887
baseline,8,50,4096,25,1000,,0,0.0639979,,297.034
