mode,io_size,queue_depth,num_pairs,host_overhead,ssd_latency,num_ios,avg_latency_ns,ops_completed,effective_bw_gbps,total_bytes,total_wall_ns,iops,sim_duration_ms
dcs,4096,1,1,0,5000,200,60840.8,200.0,6.76969,819200,121010,1652755.9705809439,75
baseline,4096,1,1,0,5000,200,344.0,,0.214405,,,0.0,38
baseline,4096,1,1,500,5000,200,345.66,,0.11705,,,0.0,68
dcs,4096,1,2,0,5000,200,60840.8,200.0,6.76969,819200,121010,1652755.9705809439,153
baseline,4096,1,2,0,5000,200,347.459,,0.369153,,,0.0,89
baseline,4096,1,2,500,5000,200,337.465,,0.122364,,,0.0,264
dcs,4096,16,1,0,5000,200,6005.81,200.0,76.74,819200,10675,18735362.997658078,7
baseline,4096,16,1,0,5000,200,453.035,,2.38761,,,0.0,4
baseline,4096,16,1,500,5000,200,357.921,,0.127794,,,0.0,66
dcs,4096,16,2,0,5000,200,6006.73,200.0,77.0359,819200,10634,18807598.26970096,15
baseline,4096,16,2,0,5000,200,429.46,,2.22919,,,0.0,17
baseline,4096,16,2,500,5000,200,350.579,,0.127881,,,0.0,255
dcs,4096,64,1,0,5000,200,6899.02,200.0,77.0577,819200,10631,18812905.65327815,6
baseline,4096,64,1,0,5000,200,1386.45,,2.52665,,,0.0,3
baseline,4096,64,1,500,5000,200,357.921,,0.127794,,,0.0,63
dcs,4096,64,2,0,5000,200,6902.12,200.0,77.473,819200,10574,18914318.138831094,13
baseline,4096,64,2,0,5000,200,1505.72,,2.54321,,,0.0,13
baseline,4096,64,2,500,5000,200,350.579,,0.127881,,,0.0,257
dcs,65536,1,1,0,5000,200,1096800.0,200.0,6.00427,13107200,2182981,91617.8381763286,1289
baseline,65536,1,1,0,5000,200,342.679,,0.215358,,,0.0,546
baseline,65536,1,1,500,5000,200,344.016,,0.117895,,,0.0,1075
dcs,65536,1,2,0,5000,200,1096800.0,200.0,6.00427,13107200,2182981,91617.8381763286,2559
baseline,65536,1,2,0,5000,200,346.611,,0.369286,,,0.0,1330
baseline,65536,1,2,500,5000,200,336.155,,0.122949,,,0.0,3686
dcs,65536,16,1,0,5000,200,82912.2,200.0,80.1639,13107200,163505,1223204.1833583072,114
baseline,65536,16,1,0,5000,200,463.702,,2.38809,,,0.0,77
baseline,65536,16,1,500,5000,200,360.206,,0.127989,,,0.0,1033
dcs,65536,16,2,0,5000,200,83053.8,200.0,80.1639,13107200,163505,1223204.1833583072,247
baseline,65536,16,2,0,5000,200,443.103,,2.33449,,,0.0,266
baseline,65536,16,2,500,5000,200,351.458,,0.127974,,,0.0,3152
dcs,65536,64,1,0,5000,200,82909.8,200.0,81.6272,13107200,160574,1245531.6551870166,120
baseline,65536,64,1,0,5000,200,1610.09,,2.55789,,,0.0,73
baseline,65536,64,1,500,5000,200,360.206,,0.127989,,,0.0,1038
dcs,65536,64,2,0,5000,200,83072.0,200.0,81.6272,13107200,160574,1245531.6551870166,244
baseline,65536,64,2,0,5000,200,1617.55,,2.55894,,,0.0,249
baseline,65536,64,2,500,5000,200,351.458,,0.127974,,,0.0,3480
