model,tokens,system,bw_gbps,kv_total_mb,t_prefill_ms,t_layer_ms,t_xfer_layer_ms,t_xfer_batch_ms,t_xfer_streaming_ms,ttft_batch_ms,ttft_streaming_ms,streaming_speedup,hidden_pct
llama-7b,512,dcs_1sw,5.05,256.0,12.0,0.375,1.661,53.16,41.53,68.16,56.53,1.21,21.9
llama-7b,512,dcs_4sw,20.0,256.0,12.0,0.375,0.419,13.42,1.80,28.42,16.80,1.69,86.6
llama-7b,512,baseline_0,2.56,256.0,12.0,0.375,3.277,104.86,93.23,119.86,108.23,1.11,11.1
llama-7b,512,baseline_100,0.64,256.0,12.0,0.375,13.107,419.43,407.81,434.43,422.81,1.03,2.8
llama-7b,512,baseline_500,0.128,256.0,12.0,0.375,65.536,2097.15,2085.53,2112.15,2100.53,1.01,0.6
llama-13b,512,dcs_1sw,5.05,400.0,18.0,0.450,2.076,83.06,65.51,106.06,88.51,1.20,21.1
llama-13b,512,dcs_4sw,20.0,400.0,18.0,0.450,0.524,20.97,3.42,43.97,26.42,1.66,83.7
llama-13b,512,baseline_0,2.56,400.0,18.0,0.450,4.096,163.84,146.29,186.84,169.29,1.10,10.7
llama-13b,512,baseline_100,0.64,400.0,18.0,0.450,16.384,655.36,637.81,678.36,660.81,1.03,2.7
llama-13b,512,baseline_500,0.128,400.0,18.0,0.450,81.920,3276.80,3259.25,3299.80,3282.25,1.01,0.5
llama-70b,512,dcs_1sw,5.05,160.0,55.0,0.688,0.415,33.22,0.42,103.22,70.42,1.47,98.8
llama-70b,512,dcs_4sw,20.0,160.0,55.0,0.688,0.105,8.39,0.10,78.39,70.10,1.12,98.8
llama-70b,512,baseline_0,2.56,160.0,55.0,0.688,0.819,65.54,11.22,135.54,81.22,1.67,82.9
llama-70b,512,baseline_100,0.64,160.0,55.0,0.688,3.277,262.14,207.83,332.14,277.83,1.20,20.7
llama-70b,512,baseline_500,0.128,160.0,55.0,0.688,16.384,1310.72,1256.41,1380.72,1326.41,1.04,4.1
